レベル1,レベル2,レベル3,レベル4,フィールド,フィールド詳細
ここはひとつ、あなた様が頭をお下げになられた方がよろしいのではないでしょうか？,ここはひとつ、あなたが頭をお下げになった方がよろしいのでは？,ここはひとつ、あなたが頭を下げた方がいいのではないですか？,ここはひとつ、あなたが頭を下げた方がいいのではないか？,謝る,許す
先日のことは、彼女にお謝りになられたのでしょうか？,先日のことは、彼女にお謝りになったんですか？,先日のことは、彼女に謝ったのですか？,先日のことは、彼女に謝ったの？,謝る,許す
どうか、お見逃しいただけますでしょうか。ほんの出来心であるようなのです。,どうか、お見逃しください。ほんの出来心らしいのです。,どうか、見逃してください。ほんの出来心らしいです。,どうか、見逃して。ほんの出来心らしいので。,謝る,許す
この件は、どうぞお目こぼしのほどを、おねがい申し上げます。,この件は、どうぞお目こぼしのほどを。,この件は、どうぞお目こぼしをお願いね。,この件は、どうぞお目こぼしをよろしく。,謝る,許す
例の件、お許しをいただきたく思っているのですが？,例の件、お許しをいただきたいのですが？,例の件、許してもらえますか？,例の件、許してもらえるかな？,謝る,許す
この度のこと、どうぞお許し願いたいと思っております。,この度のこと、どうぞお許しください,この度のこと、どうぞ許してください。,この度のこと、どうぞ許してね。,謝る,許す
お詫びの申し上げようもございません。,お詫びの申しあげようもありません。,お詫びの言いようもないです。,お詫びの言いようもないよ。,謝る,許す
失礼がございましたら、お詫び申し上げます。,失礼がありましたら、お詫び申しあげます。,失礼があったら、謝ります。,失礼があったら、謝るよ。,謝る,許す
例の件、どうかご寛恕賜りたく、お願い申し上げます。,例の件、どうかご寛恕を賜りたく、お願い致します。 手紙文,例の件、広い心でお願いします。,例の件、広い心でお願いね。,謝る,許す
どうぞ、ご寛大なご処置を、お願い申し上げます。,どうぞ、ご寛大な処置を、お願いいたします。,寛大な処置を、お願いします。,寛大な処置を、お願いね。,謝る,許す
二度といたしませんので、どうぞお許し下さいますようお願い申し上げます。,二度といたしません、どうぞご勘弁ください。,二度としないので、許してください。,二度としないので、許してね。,謝る,許す
理事長のご寛容なご処置には、尊敬いたしました。,理事長のご寛容な処置には、敬服いたしました。,理事長の寛容な処置には、尊敬です。,理事長の寛容な処置には、尊敬したよ。,謝る,許す
ご無礼は承知の上で参上いたしました。ご無礼をどうぞお許し願います。,ご無礼は承知の上でまかり出ました。 ご無礼をお許しください。,無礼は承知できました。どうか許してください。,無礼は承知できたよ。許してね。,謝る,許す
気がつきませんでして、ご無礼をおゆるしください。,気がつきませんで、ご無礼いたしました。,気がつかなくて、すみません。,気がつかなくて、ごめんね。,謝る,許す
何とぞ、ご容赦くださいますようお願い申し上げます。平に、ご容赦くださいませ。,何とぞ、ご容赦ください。 平に、ご容赦願います。,どうぞ許してください。お願いします。,どうぞ許してね。お願いね。,謝る,許す
この度は、誠に申し訳ございません。,この度は、誠に相すみません。,この度は、本当にすみません。,この度は、本当にごめんね。,謝る,言葉
この度の失態は、誠に遺憾でございます。,この度の失態、誠に遺憾に存じます。,この度の失態は本当に申し訳ないです。,この度の失態は、本当にごめん。,謝る,言葉
とんでもない失態をいたしまして、言葉もございません。,とんだ失態をいたしまして、一言もありません。,とんでもない失態をして、言葉もないです。,とんでもない失態をして、言葉もないよ。,謝る,言葉
